first,second,third,likelihood_ratio
mise,place,euro,420.7707318861252
faire,front,national,12798.604667827118
faire,quelque,chose,1172.9111408074707
faire,croire,cinq,201.84753149540632
faire,respecter,lois,165.41323538044725
faire,grosse,bœuf,143.7872592241802
faire,entendre,voix,121.69890620015885
faire,demain,voulu,109.78721324003787
faire,appliquer,politique,106.00819159537238
faire,travailleur,emploi,96.85998868091929
militaire,volontaire,mois,126.724438748734
calomnies,elle,échappera,169.4890827161002
mystérieux,contact,appelle,152.14459347950535
fonction,publique,plus,523.1371656252766
égard,front,national,12810.101443880849
service,militaire,volontaire,236.617432508942
premier,ministre,socialiste,1278.0574375894696
premier,ministre,président,1228.3606215582142
premier,ministre,villepin,1226.9553233865781
premier,ministre,jacques,1212.0656726550005
premier,tour,élections,778.6309555045252
premier,tour,présidentielle,725.5340570669948
premier,tour,bien,700.8379231060294
premier,homme,politique,289.9610794798777
premier,faire,élire,171.3717363468958
premier,secrétaire,parti,126.33504213073891
vice,premier,ministre,1310.5948657771337
acte,prière,jésus,213.75961319882873
objet,consultation,obligatoire,139.6110835485784
france,front,national,12796.063698220549
france,mesdames,messieurs,2637.705570793282
france,vous,savez,1205.6367755987626
france,plus,plus,352.5123073469648
france,ores,déjà,333.4750396130903
france,banni,pape,199.0964609763385
france,français,abord,151.95400773787298
france,mère,arts,132.79168180931327
france,passée,4ème,107.3081528800622
france,identité,sécurité,97.15522930814242
france,elle,croit,83.93298814001304
prison,ferme,prison,297.7300613249643
veulent,travailler,veulent,306.9388569869768
riches,puissants,dans,129.08789391132106
déclaration,droits,homme,192.14221396994247
domaine,tant,autres,165.59916194362233
domaine,bien,autres,87.18107666755671
lutter,contre,immigration,367.67586422971624
dois,dire,suis,1227.9355094812345
termine,professionnelle,vers,127.5771036851173
immigrés,tiers,monde,532.1532393507927
immigrés,plus,plus,370.2824746543681
immigrés,situation,irrégulière,148.97407154359155
ensemble,classe,politique,580.8892301701828
européennes,exportations,agricoles,123.1181892669049
ferrée,pieds,taille,274.42045080684926
certes,parlement,européen,943.7080771418415
quelques,centaines,milliers,599.3915662979953
quelques,jours,plus,424.34230895672755
quelques,dizaines,milliers,352.1734938669845
emprisonnée,rouen,cage,293.7041171115731
peuples,disposer,mêmes,158.0590889960671
peuples,européens,plus,140.60089713758626
gardée,soudards,cachot,256.3014564161566
juridique,social,mère,168.22092302574066
compare,suis,orgueilleux,189.88064502904538
corruption,politico,financière,138.0711228170351
arabe,députation,paris,344.888527210588
basses,insultes,plus,205.43308252296953
mandat,président,république,2745.7495388914285
obligation,dont,fallait,102.66427330852427
martin,sera,refuser,141.89925771803797
affranchir,moyen,oppression,156.64946058535327
écarter,candidats,fantaisistes,202.8131077931506
agit,front,national,12802.87204276933
